Entity ID,Area of Interest,Map Projection,Sensor,Begin Date,End Date,Agency,Platform,Comments,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
EMUSA20120501201205076,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-01 00:00:00-05,2012-05-07 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120501201205076,EMUSA20120501201205076
EMUSA20120501201205146,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-01 00:00:00-05,2012-05-14 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120501201205146,EMUSA20120501201205146
EMUSA20120508201205146,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-08 00:00:00-05,2012-05-14 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120508201205146,EMUSA20120508201205146
EMUSA20120515201205216,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-15 00:00:00-05,2012-05-21 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120515201205216,EMUSA20120515201205216
EMUSA20120515201205286,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-15 00:00:00-05,2012-05-28 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120515201205286,EMUSA20120515201205286
EMUSA20120522201205286,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-22 00:00:00-05,2012-05-28 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120522201205286,EMUSA20120522201205286
EMUSA20120529201206046,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-29 00:00:00-05,2012-06-04 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120529201206046,EMUSA20120529201206046
EMUSA20120529201206116,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-29 00:00:00-05,2012-06-11 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120529201206116,EMUSA20120529201206116
EMUSA20120605201206116,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-05 00:00:00-05,2012-06-11 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120605201206116,EMUSA20120605201206116
EMUSA20120612201206186,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-12 00:00:00-05,2012-06-18 00:00:00-05,USGS EROS,AQUA,acceptable,6,38°44'12.72"N,97°12'06.84"W,48°24'11"N,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120612201206186,EMUSA20120612201206186
