Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_045033_20180131_20200902_02_T1,LC08_L1TP_045033_20180131_20200902_02_T1,LC80450332018031LGN00,2018-01-31,T1,2,45,33,45,33,NADIR,0.0,2020/09/02,2020/09/02,2018-01-31 18:51:28.841461,2018-01-31 18:52:00.611459,LGN,DAY,32.21,21.63,726,5,7.912,4.664,6.392,LPGS_15.3.1c,29.6553612,153.84957539,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"38°54'16.56""N","123°12'44.46""W","39°57'13.10""N","124°34'32.74""W","39°57'31.36""N","121°51'26.28""W","37°49'36.48""N","124°31'45.98""W","37°49'53.44""N","121°53'27.24""W",38.9046,-123.21235,39.95364,-124.57576,39.95871,-121.8573,37.8268,-124.52944,37.83151,-121.8909,LC08_L2SP_045033_20180131_20200902_02_T1,LC80450332018031LGN00
LC08_L2SP_044033_20180209_20200902_02_T1,LC08_L1TP_044033_20180209_20200902_02_T1,LC80440332018040LGN00,2018-02-09,T1,2,44,33,44,33,NADIR,0.0,2020/09/02,2020/09/02,2018-02-09 18:45:15.23705,2018-02-09 18:45:47.007048,LGN,DAY,22.83,22.82,1097,5,7.765,4.563,6.283,LPGS_15.3.1c,32.12623349,152.4849915,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"38°54'16.34""N","121°40'15.42""W","39°57'32.18""N","122°59'43.15""W","39°55'39.79""N","120°18'34.92""W","37°51'20.38""N","122°59'43.62""W","37°49'36.05""N","120°23'16.19""W",38.90454,-121.67095,39.95894,-122.99532,39.92772,-120.3097,37.85566,-122.99545,37.82668,-120.38783,LC08_L2SP_044033_20180209_20200902_02_T1,LC80440332018040LGN00
LC08_L2SP_045032_20180216_20200902_02_T1,LC08_L1TP_045032_20180216_20200902_02_T1,LC80450322018047LGN00,2018-02-16,T1,2,45,32,45,32,NADIR,0.0,2020/09/02,2020/09/02,2018-02-16 18:50:59.772492,2018-02-16 18:51:31.54249,LGN,DAY,3.22,3.17,1198,5,7.361,4.267,5.998,LPGS_15.3.1c,33.18468227,152.28360967,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.22""N","122°46'19.52""W","41°22'58.08""N","124°09'27.72""W","41°22'38.24""N","121°23'03.80""W","39°15'41.54""N","124°07'19.27""W","39°15'23.08""N","121°26'03.05""W",40.33284,-122.77209,41.3828,-124.1577,41.37729,-121.38439,39.26154,-124.12202,39.25641,-121.43418,LC08_L2SP_045032_20180216_20200902_02_T1,LC80450322018047LGN00
LC08_L2SP_044032_20180225_20200902_02_T1,LC08_L1TP_044032_20180225_20200902_02_T1,LC80440322018056LGN00,2018-02-25,T1,2,44,32,44,32,NADIR,0.0,2020/09/02,2020/09/02,2018-02-25 18:44:44.999941,2018-02-25 18:45:16.769939,LGN,DAY,54.44,54.44,620,5,8.236,4.971,6.566,LPGS_15.3.1c,36.29602237,151.09697225,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.48""N","121°13'40.26""W","41°23'25.91""N","122°34'18.44""W","41°20'51.43""N","119°49'44.29""W","39°17'25.91""N","122°35'05.50""W","39°15'02.41""N","119°55'32.23""W",40.33291,-121.22785,41.39053,-122.57179,41.34762,-119.82897,39.29053,-122.58486,39.25067,-119.92562,LC08_L2SP_044032_20180225_20200902_02_T1,LC80440322018056LGN00
LC08_L2SP_045032_20180304_20200902_02_T1,LC08_L1TP_045032_20180304_20200902_02_T1,LC80450322018063LGN00,2018-03-04,T1,2,45,32,45,32,NADIR,0.0,2020/09/02,2020/09/02,2018-03-04 18:50:52.174338,2018-03-04 18:51:23.944336,LGN,DAY,52.63,51.72,168,5,8.09,5.203,6.194,LPGS_15.3.1c,38.87999889,150.20680442,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.61""N","122°46'26.04""W","41°22'58.08""N","124°09'27.72""W","41°22'38.24""N","121°23'03.80""W","39°15'41.54""N","124°07'19.27""W","39°15'23.08""N","121°26'03.05""W",40.33267,-122.7739,41.3828,-124.1577,41.37729,-121.38439,39.26154,-124.12202,39.25641,-121.43418,LC08_L2SP_045032_20180304_20200902_02_T1,LC80450322018063LGN00
LC08_L2SP_044032_20180329_20200901_02_T1,LC08_L1TP_044032_20180329_20200901_02_T1,LC80440322018088LGN00,2018-03-29,T1,2,44,32,44,32,NADIR,0.0,2020/09/01,2020/09/01,2018-03-29 18:44:29.129681,2018-03-29 18:45:00.89968,LGN,DAY,13.09,13.09,668,5,7.139,4.692,5.381,LPGS_15.3.1c,48.55329806,146.92370512,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.37""N","121°14'14.21""W","41°23'26.05""N","122°34'57.18""W","41°20'52.51""N","119°50'22.96""W","39°17'26.05""N","122°35'43.08""W","39°15'03.38""N","119°56'09.71""W",40.33288,-121.23728,41.39057,-122.58255,41.34792,-119.83971,39.29057,-122.5953,39.25094,-119.93603,LC08_L2SP_044032_20180329_20200901_02_T1,LC80440322018088LGN00
LC08_L2SP_044032_20180414_20201015_02_T1,LC08_L1TP_044032_20180414_20201015_02_T1,LC80440322018104LGN00,2018-04-14,T1,2,44,32,44,32,NADIR,0.0,2020/10/15,2020/10/15,2018-04-14 18:44:20.301836,2018-04-14 18:44:52.071834,LGN,DAY,10.29,10.29,770,5,6.831,4.586,5.063,LPGS_15.3.1c,54.43576003,144.2744399,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.18""N","121°14'42.29""W","41°23'26.16""N","122°35'23.03""W","41°20'53.20""N","119°50'48.73""W","39°17'26.12""N","122°36'08.14""W","39°15'04.07""N","119°56'34.73""W",40.33255,-121.24508,41.3906,-122.58973,41.34811,-119.84687,39.29059,-122.60226,39.25113,-119.94298,LC08_L2SP_044032_20180414_20201015_02_T1,LC80440322018104LGN00
LC08_L2SP_045032_20180421_20200901_02_T1,LC08_L1TP_045032_20180421_20200901_02_T1,LC80450322018111LGN00,2018-04-21,T1,2,45,32,45,32,NADIR,0.0,2020/09/01,2020/09/01,2018-04-21 18:50:26.871284,2018-04-21 18:50:58.641282,LGN,DAY,0.76,0.75,1233,5,4.458,3.04,3.26,LPGS_15.3.1c,56.77005752,142.84763533,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.66""N","122°47'36.96""W","41°22'57.32""N","124°10'45.23""W","41°22'39.32""N","121°24'21.28""W","39°15'40.79""N","124°08'34.37""W","39°15'24.08""N","121°27'18.11""W",40.33296,-122.7936,41.38259,-124.17923,41.37759,-121.40591,39.26133,-124.14288,39.25669,-121.45503,LC08_L2SP_045032_20180421_20200901_02_T1,LC80450322018111LGN00
LC08_L2SP_044033_20180430_20200901_02_T1,LC08_L1TP_044033_20180430_20200901_02_T1,LC80440332018120LGN00,2018-04-30,T1,2,44,33,44,33,NADIR,0.0,2020/09/01,2020/09/01,2018-04-30 18:44:35.251017,2018-04-30 18:45:07.021015,LGN,DAY,51.71,51.68,744,5,6.306,4.499,4.418,LPGS_15.3.1c,60.37968408,138.5713571,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"38°54'15.55""N","121°42'06.48""W","39°57'32.18""N","123°01'36.95""W","39°55'42.38""N","120°20'28.57""W","37°51'10.62""N","123°01'34.10""W","37°49'28.74""N","120°25'06.89""W",38.90432,-121.7018,39.95894,-123.02693,39.92844,-120.34127,37.85295,-123.02614,37.82465,-120.41858,LC08_L2SP_044033_20180430_20200901_02_T1,LC80440332018120LGN00
LC08_L2SP_045032_20180507_20200901_02_T1,LC08_L1TP_045032_20180507_20200901_02_T1,LC80450322018127LGN00,2018-05-07,T1,2,45,32,45,32,NADIR,-0.001,2020/09/01,2020/09/01,2018-05-07 18:50:17,2018-05-07 18:50:49,LGN,DAY,0.44,0.43,1321,5,4.312,3.106,2.991,LPGS_15.3.1c,61.27554685,138.88251253,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.04""N","122°48'17.28""W","41°22'56.93""N","124°11'23.96""W","41°22'39.83""N","121°24'59.98""W","39°15'40.43""N","124°09'11.92""W","39°15'24.59""N","121°27'55.66""W",40.33279,-122.8048,41.38248,-124.18999,41.37773,-121.41666,39.26123,-124.15331,39.25683,-121.46546,LC08_L2SP_045032_20180507_20200901_02_T1,LC80450322018127LGN00
LC08_L2SP_045032_20180523_20200901_02_T1,LC08_L1TP_045032_20180523_20200901_02_T1,LC80450322018143LGN00,2018-05-23,T1,2,45,32,45,32,NADIR,0.0,2020/09/01,2020/09/01,2018-05-23 18:50:06.165485,2018-05-23 18:50:37.935484,LGN,DAY,40.19,41.32,880,5,4.524,3.377,3.011,LPGS_15.3.1c,64.31510374,134.17445956,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.30""N","122°48'20.74""W","41°22'56.93""N","124°11'23.96""W","41°22'39.83""N","121°24'59.98""W","39°15'40.43""N","124°09'11.92""W","39°15'24.59""N","121°27'55.66""W",40.33286,-122.80576,41.38248,-124.18999,41.37773,-121.41666,39.26123,-124.15331,39.25683,-121.46546,LC08_L2SP_045032_20180523_20200901_02_T1,LC80450322018143LGN00
LC08_L2SP_044032_20180601_20200831_02_T1,LC08_L1TP_044032_20180601_20200831_02_T1,LC80440322018152LGN00,2018-06-01,T1,2,44,32,44,32,NADIR,0.0,2020/08/31,2020/08/31,2018-06-01 18:43:48.252878,2018-06-01 18:44:20.022877,LGN,DAY,0.09,0.09,1035,5,5.086,3.647,3.545,LPGS_15.3.1c,65.3292584,131.69119791,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.37""N","121°12'44.03""W","41°23'35.45""N","122°33'26.71""W","41°20'59.71""N","119°48'52.24""W","39°17'25.73""N","122°34'15.42""W","39°15'01.08""N","119°54'42.23""W",40.33288,-121.21223,41.39318,-122.55742,41.34992,-119.81451,39.29048,-122.57095,39.2503,-119.91173,LC08_L2SP_044032_20180601_20200831_02_T1,LC80440322018152LGN00
LC08_L2SP_045032_20180608_20200831_02_T1,LC08_L1TP_045032_20180608_20200831_02_T1,LC80450322018159LGN00,2018-06-08,T1,2,45,32,45,32,NADIR,0.0,2020/08/31,2020/08/31,2018-06-08 18:50:00.604403,2018-06-08 18:50:32.374402,LGN,DAY,0.17,1.22,1336,5,3.906,2.78,2.744,LPGS_15.3.1c,65.76199976,130.02857495,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.47""N","122°44'45.92""W","41°23'08.84""N","124°07'44.58""W","41°22'46.49""N","121°21'20.27""W","39°15'42.48""N","124°05'39.12""W","39°15'21.74""N","121°24'22.93""W",40.33263,-122.74609,41.38579,-124.12905,41.37958,-121.35563,39.2618,-124.0942,39.25604,-121.40637,LC08_L2SP_045032_20180608_20200831_02_T1,LC80450322018159LGN00
LC08_L2SP_044033_20180617_20200831_02_T1,LC08_L1TP_044033_20180617_20200831_02_T1,LC80440332018168LGN00,2018-06-17,T1,2,44,33,44,33,NADIR,0.0,2020/08/31,2020/08/31,2018-06-17 18:44:20.130272,2018-06-17 18:44:51.90027,LGN,DAY,14.7,14.7,1000,5,5.163,3.563,3.736,LPGS_15.3.1c,66.52481273,125.28637357,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"38°54'14.90""N","121°39'18.61""W","39°57'32.18""N","122°58'52.57""W","39°55'38.32""N","120°17'31.81""W","37°51'10.62""N","122°58'54.52""W","37°49'24.96""N","120°22'15.24""W",38.90414,-121.65517,39.95894,-122.98127,39.92731,-120.29217,37.85295,-122.98181,37.8236,-120.3709,LC08_L2SP_044033_20180617_20200831_02_T1,LC80440332018168LGN00
LC08_L2SP_045032_20180624_20200831_02_T1,LC08_L1TP_045032_20180624_20200831_02_T1,LC80450322018175LGN00,2018-06-24,T1,2,45,32,45,32,NADIR,0.0,2020/08/31,2020/08/31,2018-06-24 18:50:11.527207,2018-06-24 18:50:43.297205,LGN,DAY,0.58,2.09,1320,5,3.606,2.541,2.558,LPGS_15.3.1c,65.67033528,127.8418874,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.76""N","122°45'11.20""W","41°23'08.59""N","124°08'10.43""W","41°22'46.85""N","121°21'46.08""W","39°15'42.23""N","124°06'04.18""W","39°15'22.07""N","121°24'47.95""W",40.33271,-122.75311,41.38572,-124.13623,41.37968,-121.3628,39.26173,-124.10116,39.25613,-121.41332,LC08_L2SP_045032_20180624_20200831_02_T1,LC80450322018175LGN00
LC08_L2SP_044032_20180703_20200831_02_T1,LC08_L1TP_044032_20180703_20200831_02_T1,LC80440322018184LGN00,2018-07-03,T1,2,44,32,44,32,NADIR,0.0,2020/08/31,2020/08/31,2018-07-03 18:44:05.74849,2018-07-03 18:44:37.518488,LGN,DAY,2.17,2.17,992,5,5.064,3.616,3.545,LPGS_15.3.1c,65.04753282,127.8882042,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.11""N","121°12'33.52""W","41°23'25.69""N","122°33'13.86""W","41°20'49.63""N","119°48'39.85""W","39°17'25.69""N","122°34'02.89""W","39°15'00.76""N","119°54'29.74""W",40.33253,-121.20931,41.39047,-122.55385,41.34712,-119.81107,39.29047,-122.56747,39.25021,-119.90826,LC08_L2SP_044032_20180703_20200831_02_T1,LC80440322018184LGN00
LC08_L2SP_045032_20180710_20200831_02_T1,LC08_L1TP_045032_20180710_20200831_02_T1,LC80450322018191LGN00,2018-07-10,T1,2,45,32,45,32,NADIR,0.0,2020/08/31,2020/08/31,2018-07-10 18:50:19.986399,2018-07-10 18:50:51.756398,LGN,DAY,0.04,0.04,1354,5,3.598,2.565,2.522,LPGS_15.3.1c,64.31726229,128.58846228,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.01""N","122°45'06.91""W","41°23'08.59""N","124°08'10.43""W","41°22'46.85""N","121°21'46.08""W","39°15'42.23""N","124°06'04.18""W","39°15'22.07""N","121°24'47.95""W",40.33278,-122.75192,41.38572,-124.13623,41.37968,-121.3628,39.26173,-124.10116,39.25613,-121.41332,LC08_L2SP_045032_20180710_20200831_02_T1,LC80450322018191LGN00
LC08_L2SP_044032_20180719_20200831_02_T1,LC08_L1TP_044032_20180719_20200831_02_T1,LC80440322018200LGN00,2018-07-19,T1,2,44,32,44,32,NADIR,0.0,2020/08/31,2020/08/31,2018-07-19 18:44:12.940813,2018-07-19 18:44:44.710811,LGN,DAY,1.26,1.26,1036,5,4.656,3.084,3.488,LPGS_15.3.1c,63.09496968,130.26804987,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.37""N","121°12'12.31""W","41°23'35.30""N","122°32'47.94""W","41°20'58.63""N","119°48'13.57""W","39°17'25.58""N","122°33'37.84""W","39°15'00.07""N","119°54'04.72""W",40.33288,-121.20342,41.39314,-122.54665,41.34962,-119.80377,39.29044,-122.56051,39.25002,-119.90131,LC08_L2SP_044032_20180719_20200831_02_T1,LC80440322018200LGN00
LC08_L2SP_045032_20180726_20200831_02_T1,LC08_L1TP_045032_20180726_20200831_02_T1,LC80450322018207LGN00,2018-07-26,T1,2,45,32,45,32,NADIR,0.0,2020/08/31,2020/08/31,2018-07-26 18:50:26.205139,2018-07-26 18:50:57.975138,LGN,DAY,1.39,2.81,1338,5,4.073,2.882,2.878,LPGS_15.3.1c,61.94209021,132.10751927,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.83""N","122°44'35.70""W","41°23'08.84""N","124°07'44.58""W","41°22'46.31""N","121°21'07.34""W","39°15'42.48""N","124°05'39.12""W","39°15'21.56""N","121°24'10.44""W",40.33273,-122.74325,41.38579,-124.12905,41.37953,-121.35204,39.2618,-124.0942,39.25599,-121.4029,LC08_L2SP_045032_20180726_20200831_02_T1,LC80450322018207LGN00
